gene_names,case_frequency,max_log2fc
NKAIN2,9,1.78687893274347
CNTNAP2,8,1.97159207382636
ST18,7,1.69273339399335
RNF220,7,1.65499562730799
NRG3,6,1.87674670436753
RBFOX1,5,1.83071392453473
DLGAP2,5,1.80375401216643
CTNNA3,5,1.75067766508578
SLC24A2,5,1.73772345374922
KCNIP4,5,1.69505577290896
LHFPL3,4,2.12291911391585
MEG3,4,2.01698793414777
S100A6,4,2.0005135057114
PCDH15,4,1.98835614534982
OPCML,4,1.96555849224838
FLT1,4,1.91356726216589
MT-CO3,4,1.89343748939418
MT-CO2,4,1.82451185208199
IL1RAPL1,4,1.76119776956727
DLGAP1,4,1.66036054076644
PRKG1,3,2.34228152076283
FTL,3,2.29269523544635
GPC5,3,2.01792000204392
CSMD1,3,2.00805692784197
